card_number,expiry_date,card_provider,date_payment_confirmed
349624180933183,10/23,American Express,2001-06-18
3529023891650490,06/23,JCB 16 digit,2000-12-26
213142929492281,09/27,JCB 15 digit,2011-02-12
502067329974,10/25,Maestro,1997-03-13
3506661913512980,11/23,JCB 16 digit,2003-08-25
377549437870679,07/27,American Express,2006-12-11
2321541881278150,02/29,Mastercard,1995-08-24
6011037917693140,02/24,Discover,1998-10-23
502049986008,07/23,Maestro,2011-04-30
6501622116456490,10/28,Discover,2006-03-11
6502495513721380,11/27,Discover,2021-10-11
3551071736826240,11/31,JCB 16 digit,1993-07-16
371493449732930,10/29,American Express,2014-11-08
3536516200696080,01/29,JCB 16 digit,2009-11-29
5222519319551540,01/26,Mastercard,2019-02-22
4537509987455280000,02/32,VISA 19 digit,2022-09-24
6011881097126120,10/26,Discover,1996-12-03
4204210033998580000,08/28,VISA 19 digit,2019-09-21
3540126062083770,09/32,JCB 16 digit,2021-04-27
180093132939478,05/30,JCB 15 digit,2004-12-30
3579161126932720,02/23,JCB 16 digit,2015-11-16
4045259395988290,06/28,VISA 16 digit,2011-01-23
4305628477334070000,07/24,VISA 19 digit,2017-03-06
6011112632675670,07/31,Discover,1999-02-08
370629659061970,10/30,American Express,2008-09-27
3565388078802970,03/32,JCB 16 digit,2016-10-28
4413511328768020,12/30,VISA 16 digit,1995-08-15
3510326851192930,10/31,JCB 16 digit,2001-06-30
2296814173210180,06/24,Mastercard,2020-07-09
2297205767081190,10/30,Mastercard,2012-03-11
4024414397695410000,05/28,VISA 19 digit,1997-10-02
4529390944325970,08/23,VISA 16 digit,2009-04-15
60485138139,08/27,Maestro,2022-11-18
4243023678099,02/23,VISA 13 digit,2021-07-05
4976058331830470000,08/26,VISA 19 digit,2021-09-29
4224188732297920,02/24,VISA 16 digit,1997-10-26
3514396157366920,03/29,JCB 16 digit,2004-11-06
3590999821623690,07/30,JCB 16 digit,2002-01-14
60457486839,07/27,Maestro,2006-12-31
4934170565606,08/26,VISA 13 digit,2008-10-10
4499574398661660,01/24,VISA 16 digit,2016-08-07
3569354729407150,06/31,JCB 16 digit,1997-04-18
213139697145299,03/24,JCB 15 digit,2010-03-01
676119752563,02/25,Maestro,1995-07-22
4923545896758580000,01/23,VISA 19 digit,2017-08-15
4145489239111500,02/30,VISA 16 digit,2018-08-31
4131871381315060,03/27,VISA 16 digit,2007-07-30
4850248250585,07/26,VISA 13 digit,1995-12-18
676231685725,09/25,Maestro,1998-01-30
372498568017103,07/28,American Express,2009-10-28
4108484730579010,03/28,VISA 16 digit,1994-08-21
676293500408,08/24,Maestro,1993-10-26
581681339767,06/29,Maestro,1998-08-03
180083117707156,06/30,JCB 15 digit,2012-01-11
213185617039336,04/23,JCB 15 digit,2005-03-28
180038452399167,09/27,JCB 15 digit,1999-11-04
213148437331713,06/28,JCB 15 digit,2004-02-11
6011852840796870,12/29,Discover,2020-10-14
6011662146447830,09/32,Discover,2013-04-22
375909252165187,03/23,American Express,2005-10-07
3584417008059140,05/27,JCB 16 digit,1993-05-09
2244978562790820,10/29,Mastercard,2007-02-12
4027528338006,04/28,VISA 13 digit,2013-05-30
2244479907474760,04/32,Mastercard,1995-04-27
3570781166096810,04/23,JCB 16 digit,2000-12-27
2310820813218710,07/32,Mastercard,1994-07-23
4725463191106120000,05/30,VISA 19 digit,2021-07-17
4319742178425770,10/24,VISA 16 digit,1998-11-06
4466560959453,01/32,VISA 13 digit,1998-03-16
3517948043479210,03/29,JCB 16 digit,2008-10-10
3575217498720440,11/26,JCB 16 digit,2013-09-10
4588947128070,02/28,VISA 13 digit,2003-10-27
6550095846760120,02/29,Discover,2013-10-19
6506115570116190,02/31,Discover,2018-06-23
346534852323501,12/22,American Express,2017-12-28
4177601107944940000,08/25,VISA 19 digit,2010-07-28
4749402420184460,07/29,VISA 16 digit,2018-04-15
4838743717197410,07/25,VISA 16 digit,2016-11-17
3503307442630630,02/25,JCB 16 digit,1996-12-10
575350944766,03/28,Maestro,2021-06-11
4639809799549920,05/31,VISA 16 digit,2018-08-16
4005849178483,04/24,VISA 13 digit,2017-02-03
4764497710814640,05/25,VISA 16 digit,1999-05-03
3517287513574020,06/32,JCB 16 digit,1993-03-25
3507036246815300,05/32,JCB 16 digit,2003-12-03
347225500075101,04/28,American Express,2009-11-20
3504582964063800,07/24,JCB 16 digit,1996-06-22
6547615342880760,12/27,Discover,2009-03-05
4537616359009030000,09/31,VISA 19 digit,1994-10-19
2294060415437190,01/31,Mastercard,1995-10-15
3588368762770770,06/24,JCB 16 digit,2006-02-19
6524192031219120,01/29,Discover,2019-03-23
180041071434092,05/30,JCB 15 digit,2010-04-05
213159098807313,11/25,JCB 15 digit,2020-05-21
3511659845316830,12/28,JCB 16 digit,2004-09-23
3566624359220790,03/26,JCB 16 digit,2015-01-28
4469615060239300000,03/31,VISA 19 digit,2006-09-18
374589179576988,04/31,American Express,2018-03-07
180080246803229,05/28,JCB 15 digit,2020-12-05
